run,netem,netem_spec,variant,program,program_bytes,outcome,metric,us,count
1,clean,,baseline,token,108600,success,resend_rounds,3,38
1,clean,,baseline,token,108600,success,resent_txs,114,0
1,clean,,baseline,token,108600,success,resend_time,1114202,0
1,clean,,baseline,token,108600,success,confirm_phase,1114289,0
1,clean,,baseline,token,108600,success,write_chunks,2189217,108
1,clean,,baseline,token,108600,success,final_tx,503795,0
1,clean,,baseline,token,108600,success,total_deploy,3195400,108600
1,clean,,tpu_next,token,108600,success,wall,3025469,0
1,clean,,tpu_next,token,108600,success,client_setup,635,0
1,clean,,tpu_next,token,108600,success,first_send,2,0
1,clean,,tpu_next,token,108600,success,send_phase,1071624,108
1,clean,,tpu_next,token,108600,success,resend_rounds,2,38
1,clean,,tpu_next,token,108600,success,resent_txs,38,0
1,clean,,tpu_next,token,108600,success,resend_time,370904,0
1,clean,,tpu_next,token,108600,success,confirm_phase,931801,0
1,clean,,tpu_next,token,108600,success,write_chunks,2005290,108
1,clean,,tpu_next,token,108600,success,quic_sent,146,108
1,clean,,tpu_next,token,108600,success,final_tx,502711,0
1,clean,,tpu_next,token,108600,success,total_deploy,3012321,108600
1,d100_l1,delay 100ms loss random 1%,tpu_next,jupiter-v6,2892224,success,wall,28051788,0
1,d100_l1,delay 100ms loss random 1%,tpu_next,jupiter-v6,2892224,success,client_setup,801104,0
1,d100_l1,delay 100ms loss random 1%,tpu_next,jupiter-v6,2892224,success,first_send,3,0
1,d100_l1,delay 100ms loss random 1%,tpu_next,jupiter-v6,2892224,success,send_phase,18651781,1866
1,d100_l1,delay 100ms loss random 1%,tpu_next,jupiter-v6,2892224,success,resend_rounds,3,142
1,d100_l1,delay 100ms loss random 1%,tpu_next,jupiter-v6,2892224,success,resent_txs,146,0
1,d100_l1,delay 100ms loss random 1%,tpu_next,jupiter-v6,2892224,success,resend_time,1441753,0
1,d100_l1,delay 100ms loss random 1%,tpu_next,jupiter-v6,2892224,success,confirm_phase,2634177,0
1,d100_l1,delay 100ms loss random 1%,tpu_next,jupiter-v6,2892224,success,write_chunks,21715030,1866
1,d100_l1,delay 100ms loss random 1%,tpu_next,jupiter-v6,2892224,success,quic_sent,2012,1866
1,d100_l1,delay 100ms loss random 1%,tpu_next,jupiter-v6,2892224,success,final_tx,809511,0
1,d100_l1,delay 100ms loss random 1%,tpu_next,jupiter-v6,2892224,success,total_deploy,26233742,2892224
1,d100_l1,delay 100ms loss random 1%,baseline,jupiter-v6,2892224,success,wall,27640944,0
1,d100_l1,delay 100ms loss random 1%,baseline,jupiter-v6,2892224,success,client_setup,1201797,0
1,d100_l1,delay 100ms loss random 1%,baseline,jupiter-v6,2892224,success,first_send,401436,0
1,d100_l1,delay 100ms loss random 1%,baseline,jupiter-v6,2892224,success,send_phase,18653525,1866
1,d100_l1,delay 100ms loss random 1%,baseline,jupiter-v6,2892224,success,resend_rounds,2,171
1,d100_l1,delay 100ms loss random 1%,baseline,jupiter-v6,2892224,success,resent_txs,241,0
1,d100_l1,delay 100ms loss random 1%,baseline,jupiter-v6,2892224,success,resend_time,2393031,0
1,d100_l1,delay 100ms loss random 1%,baseline,jupiter-v6,2892224,success,confirm_phase,2393163,0
1,d100_l1,delay 100ms loss random 1%,baseline,jupiter-v6,2892224,success,write_chunks,21503408,1866
1,d100_l1,delay 100ms loss random 1%,baseline,jupiter-v6,2892224,success,final_tx,810631,0
1,d100_l1,delay 100ms loss random 1%,baseline,jupiter-v6,2892224,success,total_deploy,26423292,2892224
1,d100_l1,delay 100ms loss random 1%,tpu_next,token-2022,1382016,success,wall,12908987,0
